State,"Q-ADD - Heat Flow","Psteam - Phase - Molar Flow (Overall)","O2GFR - Phase - Molar Flow (Vapour Phase)","GFR-OUT - Temperature","GFR-OUT - Overall and Phase Comp Molar Flow (Overall-Carbon)","GFR-OUT - Overall and Phase Comp Molar Flow (Overall-CO)","GFR-OUT - Overall and Phase Comp Molar Flow (Overall-CO2)","GFR-OUT - Overall and Phase Comp Molar Flow (Overall-Hydrogen)","GFR-OUT - Overall and Phase Comp Molar Flow (Overall-Methane)","Front_cal - Cell Matrix (F-5)","Front_cal - Cell Matrix (F-8)","Front_cal - Cell Matrix (C-7)","Front_cal - Cell Matrix (A-31)","Front_cal - Cell Matrix (D-31)","Front_cal - Cell Matrix (G-31)","Front_cal - Cell Matrix (I-5)","Front_cal - Cell Matrix (K-5)","gas2FT - Overall and Phase Comp Molar Flow (Overall-CO2)","Front_cal - Cell Matrix (M-3)","Front_cal - Cell Matrix (A-13)","Front_cal - Cell Matrix (A-5)","Front_cal - Cell Matrix (D-13)","Front_cal - Cell Matrix (A-25)","Front_cal - Cell Matrix (A-26)","Front_cal - Cell Matrix (A-27)","Front_cal - Cell Matrix (A-28)","Front_cal - Cell Matrix (A-29)","gas2FT - Overall and Phase Comp Molar Flow (Overall-Methane)","gas2FT - Overall and Phase Comp Molar Flow (Overall-CO)","gas2FT - Overall and Phase Comp Molar Flow (Overall-Hydrogen)"
,"MW","kgmole/h","kgmole/h","C","kgmole/h","kgmole/h","kgmole/h","kgmole/h","kgmole/h","MW","","","","","","kgmole/h","kg/h","kgmole/h","","","","","","","","","","kgmole/h","kgmole/h","kgmole/h"
"Case 19",0,180,342.1,1300,0.0000,824.8981,190.5463,605.1707,0.1353,94.46,94.46,0.1772,56.53,96.51,39.98,2728,2.875e+004,110.7049,4.872,0.7336,2.356,2.05,0,37.78,0,16.64,2.105,10.3336,894.3974,1833.5130
"Case 20",0,190,342.9,1300,0.0000,821.9925,193.4555,606.4931,0.1316,94.16,94.16,0.1871,56.4,96.34,39.94,2723,2.87e+004,112.6661,4.958,0.7378,2.361,2.051,0,37.67,0,16.59,2.142,10.0072,892.7575,1830.7304
"Case 21",0,200,343.7,1300,0.0000,819.1062,196.3455,607.7935,0.1281,93.82,93.82,0.1969,56.24,96.16,39.92,2718,2.864e+004,114.6489,5.046,0.742,2.365,2.05,0,37.53,0,16.53,2.18,9.6774,891.0992,1827.1877
"Case 22",0,210,344.5,1300,0.0000,816.2386,199.2165,609.0722,0.1246,93.45,93.45,0.2068,56.06,95.97,39.91,2713,2.859e+004,116.6392,5.133,0.7462,2.369,2.05,0,37.38,0,16.46,2.218,9.3528,889.4282,1823.3264
"Case 23",0,220,345.3,1300,0.0000,813.3897,202.0687,610.3295,0.1214,93.16,93.16,0.2166,55.93,95.8,39.87,2708,2.854e+004,118.5896,5.219,0.7504,2.374,2.051,0,37.26,0,16.41,2.255,9.0567,887.7685,1820.4899
"Case 24",0,230,346.1,1300,0.0000,810.5590,204.9026,611.5659,0.1182,92.82,92.82,0.2265,55.77,95.62,39.84,2703,2.848e+004,120.5624,5.306,0.7545,2.377,2.05,0,37.13,0,16.35,2.292,8.7574,886.0893,1816.9061
"Case 25",0,240,346.9,1300,0.0000,807.7465,207.7182,612.7815,0.1151,92.45,92.45,0.2363,55.6,95.43,39.83,2697,2.843e+004,122.5425,5.393,0.7586,2.381,2.05,0,36.98,0,16.29,2.33,8.4630,884.3979,1813.0144
"Case 26",0,250,347.7,1300,0.0000,804.9517,210.5160,613.9767,0.1122,92.17,92.17,0.2462,55.47,95.25,39.78,2693,2.838e+004,124.4815,5.478,0.7627,2.386,2.051,0,36.87,0,16.24,2.367,8.1947,882.7215,1810.1344
"Case 27",0,260,348.5,1300,0.0000,802.1745,213.2961,615.1518,0.1093,91.83,91.83,0.256,55.32,95.07,39.75,2688,2.832e+004,126.4434,5.565,0.7669,2.389,2.05,0,36.73,0,16.18,2.404,7.9236,881.0247,1806.5173
"Case 28",0,270,349.3,1300,0.0000,799.4145,216.0587,616.3071,0.1066,91.48,91.48,0.2659,55.15,94.88,39.73,2682,2.826e+004,128.4130,5.651,0.7709,2.393,2.05,0,36.59,0,16.12,2.441,7.6568,879.3158,1802.5964
"Case 29",0,280,350.1,1300,0.0000,796.6717,218.8043,617.4428,0.1039,91.2,91.2,0.2757,55.02,94.7,39.68,2677,2.821e+004,130.3399,5.736,0.775,2.397,2.051,0,36.48,0,16.07,2.478,7.4140,877.6256,1799.6777
"Case 30",0,290,350.9,1300,0.0000,793.9457,221.5329,618.5592,0.1014,90.86,90.86,0.2856,54.87,94.52,39.65,2672,2.816e+004,132.2906,5.822,0.7791,2.401,2.05,0,36.35,0,16.01,2.515,7.1686,875.9141,1796.0327
"Case 31",0,300,351.7,1300,0.0000,791.2363,224.2448,619.6567,0.0989,90.51,90.51,0.2954,54.7,94.33,39.63,2666,2.81e+004,134.2492,5.908,0.7832,2.404,2.05,0,36.2,0,15.95,2.552,6.9272,874.1906,1792.0897
"Case 32",0,310,352.6,1300,0.0000,788.5433,226.9402,620.7354,0.0965,90.23,90.23,0.3052,54.58,94.15,39.57,2662,2.805e+004,136.1637,5.993,0.7872,2.409,2.051,0,36.09,0,15.9,2.589,6.7077,872.4891,1789.1382
"Case 33",0,320,353.4,1300,0.0000,785.8664,229.6194,621.7957,0.0942,89.91,89.91,0.3151,54.43,93.96,39.53,2656,2.799e+004,138.1028,6.078,0.7912,2.413,2.05,0,35.96,0,15.84,2.626,6.4858,870.7653,1785.4708
